102441, 4364, -435, -826, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102483, 4144, 12, -478, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102525, 3960, 459, -171, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102567, 3963, 868, -187, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102609, 4020, 1353, -497, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102651, 4088, 1144, -567, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102684, 4014, 756, -595, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102718, 4075, 427, -511, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102752, 4088, 279, -433, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102785, 4162, 56, -256, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102819, 4197, 143, -213, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102853, 4174, 259, -242, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102887, 4053, 355, -407, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102920, 4040, 479, -492, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102954, 4074, 481, -445, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
102988, 4037, 638, -463, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103022, 4015, 681, -448, 73, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103065, 4073, 651, -455, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103108, 4090, 521, -458, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103152, 4084, 432, -459, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103195, 4098, 426, -439, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103239, 4088, 457, -444, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103282, 4071, 508, -435, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103325, 4062, 563, -447, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103369, 4053, 554, -471, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103412, 4050, 537, -458, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103456, 4069, 539, -440, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103488, 4067, 567, -473, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103520, 4075, 513, -453, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103552, 4062, 513, -438, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103584, 4050, 566, -459, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103616, 4068, 568, -472, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103648, 4055, 559, -443, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103680, 4055, 557, -453, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103712, 4070, 577, -445, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103744, 4071, 537, -445, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103776, 4049, 525, -434, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103808, 4075, 544, -431, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103848, 4073, 549, -448, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103889, 4073, 563, -466, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103930, 4057, 560, -426, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
103970, 4047, 537, -436, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104011, 4087, 507, -429, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104052, 4068, 514, -461, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104092, 4069, 529, -456, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104133, 4094, 516, -439, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104174, 4077, 537, -448, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104215, 4038, 504, -446, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104253, 4069, 478, -436, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104292, 4074, 513, -434, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104331, 4061, 492, -450, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104370, 4054, 493, -450, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104409, 4046, 515, -474, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104448, 4073, 543, -453, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104487, 4074, 574, -488, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104526, 4074, 540, -435, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104565, 4057, 485, -456, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104604, 4060, 536, -441, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104641, 4085, 552, -439, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104678, 4075, 563, -478, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104716, 4039, 543, -464, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104753, 4107, 493, -422, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104791, 4056, 527, -451, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104828, 4088, 514, -464, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104866, 4043, 488, -457, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104903, 4050, 581, -463, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104941, 4089, 491, -445, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
104978, 4080, 528, -445, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
105016, 4067, 526, -455, 74, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
105058, 4082, 532, -461, 75, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
105100, 4071, 543, -468, 75, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
105142, 4089, 578, -438, 75, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
105184, 4049, 598, -373, 75, f2915144-9628-4fbd-8620-964d8ebe1a2b, , iktidal, iktidal_tanpa_bersedekap, , 
